Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
5;3;309.4488628820563;286.8618163534347;22.587046528621613
11;27;223.8924495118991;277.5494494526828;-53.65699994078369
13;174;305.7618506151067;296.0816319369541;9.680218678152585
17;86;291.6461175629858;308.5203193541716;-16.874201791185783
19;183;308.66306305440025;422.1622759947801;-113.49921294037983
20;70;296.593699165807;455.8331126348471;-159.23941346904013
27;80;379.8858453569363;416.4803956493747;-36.59455029243844
28;200;298.6961133293532;255.92666021558128;42.7694531137719
32;195;418.0153661110708;254.28076586674607;163.73460024432475
41;179;241.1122312716978;230.08916876908293;11.023062502614863
43;67;398.6097857254992;488.94920814693387;-90.33942242143468
45;204;539.987864440563;507.1917402626278;32.79612417793527
46;29;191.8544457156749;230.69421662791018;-38.83977091223528
48;171;440.49626600928326;416.396695303287;24.099570705996257
61;64;140.6638794361226;235.71465454650385;-95.05077511038124
65;177;528.1787955700092;706.1129128073641;-177.93411723735483
67;65;370.17036422053775;463.31841281466563;-93.14804859412789
74;184;371.95318091183157;453.1547818124378;-81.20160090060625
84;74;211.83354913590782;239.7253451490415;-27.89179601313367
85;182;243.91159012513594;299.7941431245474;-55.88255299941147
98;4;336.5360786237177;287.66932415075485;48.86675447296284
101;201;534.9946989637566;421.3949185792195;113.5997803845371
102;193;446.3525379688988;399.34734622729314;47.00519174160564
105;57;640.2040328827609;735.4329171197573;-95.22888423699646
110;51;379.39994184388087;484.20990665781346;-104.8099648139326
111;93;272.06919500824483;313.5591314314527;-41.489936423207894
128;221;169.13917361627873;236.43316093806507;-67.29398732178635
