Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
3;M29;23.000006476885382;24.291411247624684;-1.2914047707393017;1.2914047707393017
17;M8;27.999989871688797;29.040003717076775;-1.0400138453879784;1.0400138453879784
19;M9;31.999990919759245;35.0369110303925;-3.0369201106332575;3.0369201106332575
32;M68;23.000018522781843;22.912161658655833;0.08785686412601024;0.08785686412601024
34;M43;19.99998942289071;20.209996703002403;-0.210007280111693;0.210007280111693
38;M183;36.999980403298764;35.629998075354344;1.3699823279444203;1.3699823279444203
39;M104;30.99998671813951;29.723333030555445;1.2766536875840657;1.2766536875840657
56;M250;34.00000931280119;35.547247017037854;-1.5472377042366645;1.5472377042366645
58;M116;18.99999690787624;20.640000697013825;-1.6400037891375838;1.6400037891375838
68;M187;38.00001003532898;36.6350355781592;1.3649744571697795;1.3649744571697795
70;M33;23.999993548802454;23.69874714254406;0.30124640625839305;0.30124640625839305
77;M197;35.000000870470686;36.75003488871951;-1.7500340182488259;1.7500340182488259
78;M161;36.999997009926496;36.989411189561146;0.010585820365349718;0.010585820365349718
79;M127;20.000000917607764;19.560000735368792;0.44000018223897186;0.44000018223897186
83;M92;31.000014778940447;29.484289507129407;1.5157252718110392;1.5157252718110392
91;M254;26.000000970775492;26.971415739439703;-0.9714147686642107;0.9714147686642107
93;M57;40.99999297946906;42.62000167820768;-1.6200086987386157;1.6200086987386157
94;M89;21.999996723378533;20.83000268164054;1.1699940417379935;1.1699940417379935
97;M149;26.00000296120277;23.578997108470247;2.4210058527325238;2.4210058527325238
98;M255;30.000002610552723;31.041785677768665;-1.0417830672159418;1.0417830672159418
102;M215;40.99999579354677;37.13890875478667;3.861087038760104;3.861087038760104
105;M257;27.999998387142885;30.609998432872516;-2.610000045729631;2.610000045729631
109;M204;34.000002575503906;36.719998129712074;-2.719995554208168;2.719995554208168
112;M83;26.999999734861245;25.165195679240473;1.834804055620772;1.834804055620772
113;M264;25.000000602302098;24.64519475693638;0.3548058453657177;0.3548058453657177
114;M266;30.000024632421123;32.34928515562023;-2.3492605231991064;2.3492605231991064
116;M202;47.000003015473425;46.626912244468315;0.3730907710051099;0.3730907710051099
119;M207;38.00001142822815;39.28000203161345;-1.2799906033853006;1.2799906033853006
120;M297;21.000007519330328;23.358999888115118;-2.35899236878479;2.35899236878479
138;M11;21.999996779384837;23.00999795950915;-1.0100011801243127;1.0100011801243127
140;M124;15.999987691356836;18.040000754885003;-2.0400130635281677;2.0400130635281677
149;M26;21.000005219415655;22.119998755934613;-1.1199935365189582;1.1199935365189582
156;M93;20.999992856485818;22.779228432687834;-1.7792355762020158;1.7792355762020158
158;M287;37.00000473832921;36.42690868294793;0.5730960553812778;0.5730960553812778
171;M289;39.9999911048557;36.15191038239581;3.8480807224598905;3.8480807224598905
177;M123;28.00000013001892;32.29000379533512;-4.290003665316199;4.290003665316199
178;M304;24.00001453534077;25.852953677864228;-1.8529391425234571;1.8529391425234571
187;M155;32.00000473237625;32.75958427942662;-0.7595795470503717;0.7595795470503717
193;M162;24.00000214093744;25.882414486375477;-1.8824123454380377;1.8824123454380377
196;M139;20.000003853173798;22.75153716769777;-2.7515333145239715;2.7515333145239715
201;M77;24.000003577873603;23.734284335369452;0.2657192425041508;0.2657192425041508
203;M237;23.00001083051243;24.588999232381294;-1.588988401868864;1.588988401868864
218;M184;55.99999763181393;59.46000146845661;-3.4600038366426773;3.4600038366426773
233;M284;34.0000004557184;33.29999911360824;0.7000013421101627;0.7000013421101627
237;M146;27.999979748574134;27.5337492819734;0.4662304666007344;0.4662304666007344
241;M179;52.999992074792615;53.53000145892683;-0.5300093841342175;0.5300093841342175
249;M256;23.000017654542404;23.688569212790455;-0.6885515582480508;0.6885515582480508
251;M98;26.999987391160456;29.584287522730104;-2.5843001315696483;2.5843001315696483
254;M151;31.000010324652607;30.679289439547347;0.32072088510525987;0.32072088510525987
259;M243;24.00000443819428;24.878748833983686;-0.8787443957894041;0.8787443957894041
260;M72;38.000007746340536;33.05000045515951;4.950007291181024;4.950007291181024
262;M55;30.99999940474644;33.823214280304974;-2.8232148755585342;2.8232148755585342
263;M233;23.999967587326598;24.805193597911757;-0.8052260105851587;0.8052260105851587
272;M269;46.99998564137849;45.02000390114586;1.979981740232624;1.979981740232624
274;M195;34.00000010233061;34.94124680116865;-0.941246698838043;0.941246698838043
