Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
4;210;195.75825635674857;503.0401913440859;-307.2819349873373;307.2819349873373
6;182;560.6974972057124;670.4389401058547;-109.74144290014237;109.74144290014237
7;48;465.7000090530732;561.6412504745157;-95.9412414214425;95.9412414214425
8;45;139.1689352737033;543.4235437890219;-404.2546085153186;404.2546085153186
9;72;593.5773550107291;594.3354767389428;-0.7581217282137231;0.7581217282137231
14;102;917.0556556967066;867.5144890163813;49.54116668032532;49.54116668032532
17;86;663.6478616944147;733.1840596108045;-69.53619791638982;69.53619791638982
18;23;1437.8568502886233;595.2543882922415;842.6024619963817;842.6024619963817
35;114;514.9814946263562;710.400763539087;-195.4192689127309;195.4192689127309
36;71;397.5134778580865;647.2148657724142;-249.7013879143277;249.7013879143277
39;172;443.0336758155235;618.9365896748811;-175.90291385935762;175.90291385935762
40;1;662.5121056295833;715.77338712326;-53.261281493676734;53.261281493676734
44;47;713.717772673971;570.5903029242509;143.12746974972015;143.12746974972015
50;24;911.1658529162954;644.2467102538853;266.9191426624101;266.9191426624101
54;99;1013.0272268023729;795.5909424215513;217.43628438082158;217.43628438082158
70;56;598.2980552817314;638.4481939856771;-40.150138703945686;40.150138703945686
73;183;491.18799873105263;624.213062920688;-133.02506418963537;133.02506418963537
74;208;513.5343622058475;537.7941193445873;-24.259757138739815;24.259757138739815
78;82;502.28272408421054;587.8656178972385;-85.58289381302797;85.58289381302797
94;62;579.2630006699756;670.4977030317416;-91.23470236176604;91.23470236176604
106;53;598.5686928197415;586.2753596398992;12.293333179842307;12.293333179842307
112;60;552.9195794346682;645.5639755050327;-92.64439607036445;92.64439607036445
120;109;498.97940992928034;644.5267943419382;-145.54738441265783;145.54738441265783
124;79;555.3871701043813;623.9332010739768;-68.54603096959545;68.54603096959545
125;179;667.109630343364;641.7963117173027;25.313318626061232;25.313318626061232
131;98;386.7850414898577;573.7396136249806;-186.95457213512293;186.95457213512293
