Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
4;M284;0.7568577302985641;0.6535176043247953;0.10334012597376874;0.10334012597376874
6;M291;0.6987581586304306;0.7436650285969469;-0.04490686996651638;0.04490686996651638
8;M175;0.7000076743472915;0.7526121318524792;-0.05260445750518772;0.05260445750518772
9;M217;0.7999953052561407;0.9072647996442299;-0.10726949438808919;0.10726949438808919
14;M260;0.7999808671975535;0.8292785846349393;-0.02929771743738585;0.02929771743738585
17;M237;0.41614607168879664;0.48451162156558153;-0.06836554987678489;0.06836554987678489
18;M15;0.30000314247332593;0.6763368680118842;-0.37633372553855826;0.37633372553855826
35;M306;0.8514148254491211;0.7567726322317032;0.09464219321741785;0.09464219321741785
36;M212;0.7999877915635003;0.9759907773574646;-0.17600298579396434;0.17600298579396434
39;M275;0.09998671813951102;0.30293669707079357;-0.20294997893128255;0.20294997893128255
40;M10;0.5000019686123587;0.6906880495065117;-0.19068608089415306;0.19068608089415306
44;M177;0.9999969889630441;1.0031447203970283;-0.003147731433984169;0.003147731433984169
50;M150;0.7999823695984464;0.7299603973503037;0.07002197224814266;0.07002197224814266
54;M253;0.6000061167628884;0.657910499261612;-0.05790438249872365;0.05790438249872365
69;M84;0.2000036163602505;0.26217552741571826;-0.062171911055467766;0.062171911055467766
73;M293;0.9478120417396089;0.8243788210231051;0.12343322071650376;0.12343322071650376
74;M183;0.5000156464365582;0.7039144709342054;-0.2038988244976473;0.2038988244976473
77;M231;0.5000008704706824;0.5807708053765614;-0.08076993490587903;0.08076993490587903
86;M239;0.28197938242956416;0.3690050847312002;-0.08702570230163603;0.08702570230163603
95;M104;1.3999960789184687;0.8049803769572437;0.595015701961225;0.595015701961225
99;M48;1.2000000511345663;1.0752784359344416;0.1247216152001247;0.1247216152001247
102;M193;1.2999957935467723;0.8311107612145251;0.4688850323322472;0.4688850323322472
105;M96;0.3999983871428834;0.628677302146609;-0.2286789150037256;0.2286789150037256
111;M88;0.299980812287847;0.40325044742389055;-0.10326963513604354;0.10326963513604354
126;M220;0.600021904556258;0.7649844747400423;-0.16496257018378424;0.16496257018378424
129;M251;1.100000996513651;0.7707067108114849;0.3292942857021661;0.3292942857021661
