Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
2;82;0.47733075166812433;0.4701711696526411;0.0071595820154832235;0.0071595820154832235
3;63;0.456337878265665;0.4386206432244207;0.01771723504124434;0.01771723504124434
15;190;0.38977485735165684;0.41221075542916435;-0.02243589807750751;0.02243589807750751
21;102;0.36185888716322323;0.41664123595222546;-0.05478234878900223;0.05478234878900223
22;12;0.5107451712078781;0.45253641646116743;0.05820875474671067;0.05820875474671067
24;91;0.36282767347093087;0.3831536701970717;-0.020325996726140827;0.020325996726140827
30;44;0.38315108084264304;0.4281340794124665;-0.04498299856982346;0.04498299856982346
38;101;0.4242477996909762;0.43961544197227853;-0.01536764228130233;0.01536764228130233
53;83;0.5661490963328069;0.46120245809526766;0.10494663823753919;0.10494663823753919
72;6;0.4574024559014327;0.4393120543921077;0.018090401509325005;0.018090401509325005
75;209;0.42505616135782914;0.4117499528574222;0.013306208500406924;0.013306208500406924
83;46;0.46181939092084445;0.43429192222412166;0.02752746869672279;0.02752746869672279
87;96;0.324790521563564;0.3877463717457635;-0.06295585018219946;0.06295585018219946
88;88;0.45215479948012055;0.44299154767240406;0.009163251807716488;0.009163251807716488
93;214;0.39187535494123527;0.40840129322960483;-0.016525938288369568;0.016525938288369568
100;76;0.46743428486059124;0.43845734799530417;0.028976936865287073;0.028976936865287073
103;208;0.43013769897237175;0.4125004843513891;0.017637214620982666;0.017637214620982666
104;66;0.42224994095567975;0.4471628474628077;-0.024912906507127963;0.024912906507127963
107;53;0.46394421557459115;0.4416378544714566;0.022306361103134553;0.022306361103134553
108;219;0.43821793696117434;0.41138729443352157;0.02683064252765277;0.02683064252765277
114;216;0.4150037569569358;0.4047090899234631;0.010294667033472704;0.010294667033472704
117;212;0.41770768712388395;0.41112907513107827;0.006578611992805683;0.006578611992805683
122;108;0.327405078168824;0.42947696499206206;-0.10207188682323803;0.10207188682323803
124;173;0.4035424277921741;0.40154629146714754;0.001996136325026543;0.001996136325026543
127;178;0.3593288248563757;0.4162324155590529;-0.0569035907026772;0.0569035907026772
134;107;0.4542228516111773;0.4448262971440612;0.009396554467116125;0.009396554467116125
