Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
2;83;207.742419471741;217.3013317844286;-9.558912312687625
3;63;118.71599153029737;187.55580213247976;-68.83981060218238
15;190;223.47802081850568;238.1989155873898;-14.720894768884108
21;173;236.5859842219027;237.08927702818565;-0.5032928062829569
22;12;174.92242219103397;213.33957065778833;-38.417148466754355
24;91;314.87804569185414;224.10367052421435;90.77437516763979
30;44;354.0650790372365;229.16829939168122;124.89677964555528
38;101;193.73155069708676;199.4007985138521;-5.669247816765335
53;42;274.53720328609995;281.85639905220074;-7.3191957661007905
61;77;210.13857476979263;172.64958314054286;37.48899162924977
72;175;320.95541736536467;240.02159866433294;80.93381870103173
75;52;9.52007886319698;157.86121369626258;-148.3411348330656
83;74;165.22885242867244;210.46344449514467;-45.23459206647223
87;89;193.36653094892318;255.31878654298174;-61.952255594058556
88;205;132.29372801958812;195.97061831026673;-63.676890290678614
93;14;324.65745163191406;302.101187774127;22.55626385778703
100;201;284.79327995160367;222.54323420899766;62.250045742606005
103;66;223.07395465342782;184.6783196189372;38.395635034490624
104;57;333.43862061294027;221.63707928196527;111.801541330975
107;219;94.19430755041702;199.60194367825824;-105.40763612784122
108;61;186.1799154720611;191.88571460171565;-5.705799129654537
117;2;353.6307106747953;259.5127989819835;94.11791169281179
119;188;272.6411981508452;234.209218441757;38.43197970908818
121;105;278.9411270027755;209.31016263790926;69.63096436486623
122;174;235.74504268653544;218.4136481326871;17.331394553848355
132;108;332.69657542736576;236.30568988823492;96.39088553913084
