Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
7;48;371.0342059492882;414.3124660136051;-43.278260064316896
33;35;231.94894087671574;305.40634771721506;-73.45740684049932
42;180;310.9765019327368;314.02644300684284;-3.049941074106016
47;43;442.58270547528525;422.16654639166677;20.41615908361848
49;26;199.4677055189119;348.5057049939802;-149.0379994750683
51;176;347.5074607185337;248.36807995536634;99.13938076316737
55;95;260.0865915978192;331.1841137658544;-71.0975221680352
58;194;518.1917862361353;507.2021707085747;10.989615527560545
59;50;318.54333351045733;414.11127656127144;-95.56794305081411
60;181;282.58720437905026;296.7276607273478;-14.140456348297562
62;77;403.0614242687792;410.5233955864597;-7.461971317680479
64;117;117.38153876873176;201.684727312681;-84.30318854394923
76;52;98.22228499424254;223.76869561256277;-125.54641061832022
80;37;487.37598499785787;660.2293506228774;-172.85336562501953
89;205;414.77709433053496;514.3804589068045;-99.60336457626954
91;94;232.9834035901235;301.48044836545864;-68.49704477533516
92;9;253.8190984062509;331.3354570917373;-77.51635868548638
96;62;266.91967960722656;296.5646936870904;-29.64501407986387
99;18;227.97864753446657;337.6483016615096;-109.66965412704303
106;112;855.8815953901545;700.1300212681491;155.75157412200542
112;22;222.10000737625924;291.0571308159835;-68.95712343972426
113;60;224.7898808938111;250.50945317149117;-25.719572277680072
116;40;513.2662708174624;399.50735575676765;113.75891506069479
121;187;488.9587721584755;475.4907676319106;13.468004526564869
129;21;296.2046964510177;395.52870114739176;-99.32400469637406
131;111;307.0960396450047;319.74098019559574;-12.644940550591059
132;15;183.69198478514474;294.1856793509478;-110.49369456580305
