Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure
6;M266;888.0167876586304;710.3313577283415;177.68542993028893
10;M40;338.3145854256004;326.1049484243662;12.20963700123417
16;M178;761.8467143771247;654.6020144733156;107.24469990380908
17;M253;276.6211198716888;301.65835712771224;-25.037237256023445
23;M183;1605.3230206752821;1144.8908170445206;460.4322036307615
29;M246;488.08076399361306;252.0089564704311;236.07180752318197
31;M190;128.2502839829339;207.74717173302926;-79.49688775009537
32;M164;395.4368685227818;356.97670205114076;38.46016647164106
34;M239;120.20410942289071;179.45235536450895;-59.24824594161824
36;M167;588.7419977915636;649.3480122420848;-60.60601445052123
40;M84;622.2452019686123;612.0991056183041;10.146096350308198
43;M114;577.6362188435172;456.73158421017735;120.90463463333987
45;M287;223.3290652147801;303.6721850394699;-80.34311982468984
56;M31;302.56012931280117;765.0399313968496;-462.47980208404846
63;M146;93.40843893665026;130.108213751714;-36.69977481506375
65;M232;144.15892812525823;295.1031170075887;-150.94418888233048
66;M304;293.3485735624003;267.46071649556313;25.88785706683717
68;M274;136.47386003532898;154.50513713076012;-18.031277095431136
79;M73;162.82831091760775;182.72153569274812;-19.893224775140368
104;M255;123.01388197722731;164.061267708588;-41.04738573136068
108;M149;108.20850174577814;125.90159558141539;-17.693093835637256
109;M231;155.71745257550393;264.0257211579367;-108.30826858243276
111;M142;25.054420812287848;182.88688519064348;-157.83246437835564
